

/Gem Systems GSM-19T 6021828 v7.0 23 IV 2009 A t-e2.v7                            
/ID 20150504 file 01survey.b   04  V 15
/datum  56900.00
/
/time nT sq 
074502.0  56962.80 99 
080002.0  56962.31 99 
081502.0  56961.44 99 
083002.0  56960.61 99 
084502.0  56959.27 99 
090002.0  56957.33 99 
091502.0  56953.75 99 
093002.0  56950.85 99 
094502.0  56947.23 99 
100002.0  56945.24 99 
101502.0  56943.96 99 
103002.0  56941.59 99 
104502.0  56940.31 99 
110002.0  56940.03 99 
111502.0  56939.72 99 
113002.0  56942.30 99 
114502.0  56943.05 99 
120002.0  56944.26 99 
121502.0  56945.52 99 
123002.0  56946.07 99 
124502.0  56945.09 99 
130002.0  56945.87 99 
131502.0  56945.43 99 
133002.0  56946.62 99 
134502.0  56949.12 99 
140002.0  56950.10 99 
141502.0  56952.83 99 
143002.0  56954.05 99 
144502.0  56953.93 99 
150002.0  56956.00 99 
151502.0  56958.30 99 
153002.0  56959.57 99 
154502.0  56962.41 69 
160002.0  56961.96 99 
161502.0  56961.86 99 
163002.0  56957.73 99 
164502.0  56958.47 99 
170002.0  56958.40 99 
171502.0  56959.10 99 
173002.0  56961.01 99 
174502.0  56961.58 99 
180002.0  56963.21 99 
181502.0  56963.36 99 
183002.0  56963.50 99 
184502.0  56962.77 99 
190002.0  56963.30 99 
191502.0  56962.59 99 
193002.0  56961.58 99 
194502.0  56961.55 99 
200002.0  56960.64 99 
201502.0  56960.51 99 
